ID,Massif,Route,Start station,Finish station,Train h one way,Walk to start min,Bus min,Km,Ascent m,Terrain,Technical,Season,Quiet 1-5,Confidence,MET,Moving time now h,Moving time fit h,Day length h,Effort points,Hiking difficulty,Technical score,Overall difficulty,Stage,Trip type,kcal 130 kg,kcal 120 kg,kcal 110 kg,kcal 100 kg,Notes,Done,Date done,My rating 1-5
11,Bucegi,Piatra Arsa via Drumul de Vara,Sinaia,Sinaia,1.6,5,0,17,1250,TRAIL,NONE,JUN-OCT,2,H,6.3,9.23809523809524,6.54761904761905,13.6047619047619,29.5,7,0,7,3,1 long day,7570,6980,6400,5820,"Cabana at the top, water available.",,,
12,Bucegi,Saua Varfului cu Dor - Izvorul Dorului loop,Sinaia,Sinaia,1.6,5,0,16,1100,TRAIL,NONE,JUN-OCT,3,M,6.3,8.47619047619048,6.00952380952381,12.8428571428571,27,7,0,7,3,1 day,6940,6410,5870,5340,Loop back down the valley.,,,
13,Bucegi,Poiana Stanii - Furnica - Cota 1400 loop,Sinaia,Sinaia,1.6,0,0,15,1100,TRAIL,NONE,JUN-OCT,3,M,6.3,8.14285714285714,5.77142857142857,12.3428571428571,26,6,0,6,3,1 day,6670,6160,5640,5130,Full circuit from the station.,,,
14,Bucegi,Dichiu - Izvorul Dorului old path,Sinaia,Sinaia,1.6,20,0,11,600,FOREST,NONE,MAY-OCT,5,V,5.5,5.38095238095238,3.81904761904762,10.247619047619,17,5,0,5,2,1 day,3850,3550,3260,2960,Little walked. Check the marking.,,,
15,Bucegi,Valea Rea forest valley,Sinaia,Sinaia,1.6,20,0,9,500,FOREST,NONE,MAY-OCT,5,V,5.5,4.42857142857143,3.14285714285714,9.2952380952381,14,4,0,4,2,1 day,3170,2920,2680,2440,"Old forestry track, almost empty.",,,
16,Bucegi,Furnica - Babele - Pestera,Sinaia,Sinaia,1.6,5,0,20,1400,TRAIL,NONE,JUN-OCT,2,M,6.3,10.6666666666667,7.56190476190476,15.0333333333333,34,8,0,8,4,2 days,8740,8060,7390,6720,Plateau crossing. Return by cable car or bus.,,,
17,Bucegi,Piatra Arsa - Jepii Mari - Busteni,Sinaia,Busteni,1.8,5,0,21,1250,ROCKY,STEEP,JUN-OCT,3,M,7,10.5714285714286,7.5,15.3380952380952,33.5,7,3,7,3,2 days,9620,8880,8140,7400,Hard 1400 m descent. Poles needed.,,,
18,Bucegi,Piscul Cainelui - Poiana Reginei loop,Sinaia,Sinaia,1.6,5,0,12,750,FOREST,NONE,APR-NOV,4,M,5.5,6.14285714285714,4.35714285714286,10.5095238095238,19.5,5,0,5,2,1 day,4390,4050,3720,3380,Quiet forest circuit.,,,
19,Bucegi,Manastirea Sinaia - Poiana Stanii - Cota 1400,Sinaia,Sinaia,1.6,0,0,10,800,FOREST,NONE,APR-NOV,3,M,5.5,5.61904761904762,3.98095238095238,9.81904761904762,18,5,0,5,2,1 day,4020,3710,3400,3090,"Good bad-weather option, in the trees.",,,
20,Bucegi,Cota 2000 - Furnica - Varful cu Dor loop,Sinaia,Sinaia,1.6,5,0,18,1250,TRAIL,NONE,JUN-OCT,2,M,6.3,9.57142857142857,6.78571428571429,13.9380952380952,30.5,7,0,7,3,1 long day,7840,7240,6630,6030,Big day entirely on foot.,,,
21,Baiului,Muntele Paduchiosul - Varful Zamora,Sinaia,Sinaia,1.6,15,0,14,900,TRAIL,NONE,MAY-OCT,5,M,6.3,7.23809523809524,5.13333333333333,11.9380952380952,23,6,0,6,3,1 day,5930,5470,5020,4560,East side of the valley. Very quiet.,,,
22,Baiului,Sinaia - Baiului traverse - Azuga,Sinaia,Azuga,1.9,15,0,23,1100,TRAIL,NONE,JUN-OCT,4,H,6.3,10.8095238095238,7.67619047619048,16.1095238095238,34,8,0,8,4,2 days,8850,8170,7490,6810,"Full ridge traverse, about 9 h.",,,
23,Baiului,Paduchiosul - Varful Baiu Mic,Sinaia,Sinaia,1.6,15,0,18,1100,TRAIL,NONE,JUN-OCT,5,M,6.3,9.14285714285714,6.48571428571429,13.8428571428571,29,7,0,7,3,1 long day,7490,6910,6340,5760,No water on the ridge.,,,
24,Bucegi,Cascada Urlatoarea,Busteni,Busteni,1.8,25,0,5,320,FOREST,NONE,ALL,1,H,5.5,2.58095238095238,1.83047619047619,8.01428571428571,8.2,2,0,2,1,1 day,1850,1700,1560,1420,Busy at weekends. Go early.,,,
25,Bucegi,Castelul Cantacuzino - Zamora loop,Busteni,Busteni,1.8,10,0,7,380,FOREST,NONE,ALL,2,H,5.5,3.41904761904762,2.42666666666667,8.35238095238095,10.8,3,0,3,1,1 day,2440,2260,2070,1880,Easy half day.,,,
26,Bucegi,Poiana Tapului - Urlatoarea loop,Busteni,Busteni,1.8,15,0,9,450,FOREST,NONE,ALL,2,M,5.5,4.28571428571429,3.04285714285714,9.38571428571429,13.5,4,0,4,2,1 day,3060,2830,2590,2360,Quieter approach to the waterfall.,,,
27,Bucegi,Gura Diham - Cabana Diham,Busteni,Busteni,1.8,25,0,9,600,FOREST,NONE,ALL,2,H,5.5,4.71428571428571,3.34285714285714,10.147619047619,15,4,0,4,2,1 day,3370,3110,2850,2590,Forest road most of the way.,,,
28,Bucegi,Gura Diham - Poiana Izvoarelor - Diham loop,Busteni,Busteni,1.8,25,0,13,750,TRAIL,NONE,APR-NOV,3,M,6.3,6.47619047619048,4.5952380952381,11.9095238095238,20.5,5,0,5,2,1 day,5300,4900,4490,4080,Two cabanas on the circuit.,,,
29,Bucegi,Valea Cerbului - Poiana Costilei,Busteni,Busteni,1.8,20,0,9,550,FOREST,NONE,MAY-OCT,3,H,5.5,4.57142857142857,3.24285714285714,9.83809523809524,14.5,4,0,4,2,1 day,3270,3020,2770,2510,Turn back at the clearing.,,,
30,Bucegi,Valea Cerbului - Varful Omu,Busteni,Busteni,1.8,20,0,14,1700,ROCKY,STEEP,JUL-SEP,3,H,7,9.52380952380952,6.73333333333333,14.7904761904762,31,7,3,7,3,1 long day,8670,8000,7330,6670,Very long day. Start before 07:00.,,,
31,Bucegi,Jepii Mici - Cabana Caraiman,Busteni,Busteni,1.8,10,0,7,1150,ROCKY,CHAINS,JUN-OCT,2,H,7,5.61904761904762,3.96666666666667,10.552380952381,18.5,5,5,5,2,1 day,5110,4720,4330,3930,"Steep, cables in places.",,,
32,Bucegi,Jepii Mici - Caraiman - Babele,Busteni,Busteni,1.8,10,0,10,1300,ROCKY,CHAINS,JUN-OCT,2,H,7,7.04761904761905,4.98095238095238,11.9809523809524,23,6,5,6,3,1 day,6410,5920,5430,4930,Return by cable car from Babele.,,,
33,Bucegi,Jepii Mari - Piatra Arsa,Busteni,Busteni,1.8,10,0,9,1200,ROCKY,STEEP,JUN-OCT,3,M,7,6.42857142857143,4.54285714285714,11.3619047619048,21,6,3,6,3,1 day,5850,5400,4950,4500,Longer and less steep than Jepii Mici.,,,
34,Bucegi,Valea Jepilor - Babele,Busteni,Busteni,1.8,10,0,8,1300,LADDERS,CHAINS,JUN-OCT,2,H,7,6.38095238095238,4.50476190476191,11.3142857142857,21,6,5,6,3,1 day,5810,5360,4910,4470,Ladders and cables. Check if the route is open.,,,
35,Bucegi,Crucea Caraiman via Jepii Mici,Busteni,Busteni,1.8,10,0,9,1250,ROCKY,CHAINS,JUN-OCT,1,H,7,6.57142857142857,4.64285714285714,11.5047619047619,21.5,6,5,6,3,1 day,5980,5520,5060,4600,The monument. Crowded in summer.,,,
36,Bucegi,Braul lui Raducu,Busteni,Busteni,1.8,20,0,8,900,EXPOSED,EXPOSED,JUL-SEP,5,M,7.5,5.23809523809524,3.70476190476191,10.5047619047619,17,5,8,8,4,1 day,5110,4710,4320,3930,"Alpine traverse, not a walking path.",,,
37,Bucegi,Valea Alba - Costila,Busteni,Busteni,1.8,15,0,11,1300,SCREE,EXPOSED,JUL-SEP,4,M,7.5,7.38095238095238,5.21904761904762,12.4809523809524,24,6,8,8,4,1 day,7200,6640,6090,5540,Scree and exposed sections. Helmet.,,,
38,Bucegi,Varful Bucsoiu Mare via Valea Cerbului,Busteni,Busteni,1.8,20,0,16,1800,EXPOSED,EXPOSED,JUL-SEP,4,V,7.5,10.4761904761905,7.40952380952381,15.7428571428571,34,8,8,8,4,2 days,10210,9430,8640,7860,Technical ridge. Not a fitness hike.,,,
39,Bucegi,Varful Diham (1580),Busteni,Busteni,1.8,25,0,12,750,TRAIL,NONE,APR-NOV,3,M,6.3,6.14285714285714,4.35714285714286,11.5761904761905,19.5,5,0,5,2,1 day,5030,4640,4260,3870,"Good viewpoint, easy terrain.",,,
40,Bucegi,Poiana Izvoarelor - Pichetul Rosu - Malaiesti,Busteni,Busteni,1.8,25,0,16,1100,TRAIL,NONE,JUN-OCT,3,M,6.3,8.47619047619048,6.00952380952381,13.9095238095238,27,7,0,7,3,1 long day,6940,6410,5870,5340,Overnight at Cabana Malaiesti.,,,
41,Bucegi,Pichetul Rosu - Varful Omu,Busteni,Busteni,1.8,25,0,18,1650,ROCKY,STEEP,JUL-SEP,3,M,7,10.7142857142857,7.58571428571429,16.1476190476191,34.5,8,3,8,4,2 days,9750,9000,8250,7500,Longer but gentler than Valea Cerbului.,,,
42,Baiului,Zamora ridge to Azuga,Busteni,Azuga,1.9,10,0,12,650,FOREST,NONE,APR-NOV,5,M,5.5,5.85714285714286,4.15714285714286,10.9904761904762,18.5,5,0,5,2,1 day,4190,3870,3540,3220,"Low ridge, good in spring.",,,
43,Bucegi,Urlatoarea - Poiana Tapului - Sinaia,Busteni,Sinaia,1.8,20,0,13,550,FOREST,NONE,ALL,3,M,5.5,5.9047619047619,4.19523809523809,11.1714285714286,18.5,5,0,5,2,1 day,4220,3900,3570,3250,"Station to station, low level.",,,
44,Bucegi,Valea Priporului,Busteni,Busteni,1.8,20,0,8,500,FOREST,NONE,MAY-OCT,5,V,5.5,4.0952380952381,2.9047619047619,9.36190476190476,13,4,0,4,2,1 day,2930,2700,2480,2250,Old forestry valley. Verify the marking.,,,
45,Baiului,Valea Azugii forest walk,Azuga,Azuga,1.9,5,0,8,250,ROAD,NONE,ALL,4,M,4.5,3.38095238095238,2.4047619047619,8.34761904761905,10.5,3,0,3,1,1 day,1980,1830,1670,1520,"Flat valley, good winter option.",,,
46,Baiului,Clabucetul Azugii,Azuga,Azuga,1.9,10,0,7,450,TRAIL,NONE,APR-NOV,3,H,6.3,3.61904761904762,2.56666666666667,8.75238095238095,11.5,3,0,3,1,1 day,2960,2740,2510,2280,"Short climb, open top.",,,
47,Baiului,Cabana Susai,Azuga,Azuga,1.9,10,0,9,550,TRAIL,NONE,APR-NOV,3,H,6.3,4.57142857142857,3.24285714285714,9.7047619047619,14.5,4,0,4,2,1 day,3740,3460,3170,2880,About 3 h up by the local description.,,,
48,Baiului,Varful Cazacu (1753),Azuga,Azuga,1.9,10,0,11,800,TRAIL,NONE,MAY-OCT,3,H,6.3,5.95238095238095,4.21904761904762,11.0857142857143,19,5,0,5,2,1 day,4880,4500,4130,3750,First real ridge summit from Azuga.,,,
49,Baiului,Valea Grecului - Saua Baiului - Diham,Azuga,Azuga,1.9,0,0,13,800,TRAIL,NONE,MAY-OCT,3,H,6.3,6.61904761904762,4.69523809523809,11.4190476190476,21,6,0,6,3,1 day,5420,5000,4590,4170,Route starts at the station.,,,
50,Baiului,Azuga - Diham - Busteni,Azuga,Busteni,1.9,0,0,15,800,TRAIL,NONE,MAY-OCT,3,H,6.3,7.28571428571429,5.17142857142857,12.0857142857143,23,6,0,6,3,1 day,5970,5510,5050,4590,"Station to station, no backtrack.",,,
51,Baiului,Varful Unghia Mare (1846),Azuga,Azuga,1.9,10,0,14,950,TRAIL,NONE,JUN-OCT,4,M,6.3,7.38095238095238,5.23333333333333,12.5142857142857,23.5,6,0,6,3,1 day,6050,5580,5120,4650,Open ridge. Carry all water.,,,
52,Baiului,Varful Baiu Mare (1895),Azuga,Azuga,1.9,10,0,16,1050,TRAIL,NONE,JUN-OCT,4,M,6.3,8.33333333333333,5.90952380952381,13.4666666666667,26.5,6,0,6,3,1 long day,6830,6300,5780,5250,Highest point of the Baiului ridge.,,,
53,Baiului,Varful Neamtu,Azuga,Azuga,1.9,10,0,13,850,TRAIL,NONE,JUN-OCT,5,V,6.3,6.76190476190476,4.7952380952381,11.8952380952381,21.5,6,0,6,3,1 day,5540,5110,4690,4260,Rarely walked side summit.,,,
54,Baiului,Sorica - Garbova ridge,Azuga,Azuga,1.9,10,0,12,700,TRAIL,NONE,MAY-OCT,4,M,6.3,6,4.25714285714286,11.1333333333333,19,5,0,5,2,1 day,4910,4540,4160,3780,"Ski area at the start, empty after.",,,
55,Baiului,Clabucetul Taurului to Predeal,Azuga,Predeal,2,10,0,10,600,TRAIL,NONE,APR-NOV,3,H,6.3,5.04761904761905,3.58095238095238,10.3809523809524,16,5,0,5,2,1 day,4130,3820,3500,3180,Graded medium to difficult locally.,,,
56,Baiului,Azuga - Baiului traverse - Sinaia,Azuga,Sinaia,1.9,10,0,23,1100,TRAIL,NONE,JUN-OCT,4,H,6.3,10.8095238095238,7.67619047619048,15.9428571428571,34,8,0,8,4,2 days,8850,8170,7490,6810,About 9 h. Late-stage target.,,,
57,Baiului,Varful Paduchiosul,Azuga,Azuga,1.9,10,0,12,800,TRAIL,NONE,MAY-OCT,5,V,6.3,6.28571428571429,4.45714285714286,11.4190476190476,20,5,0,5,2,1 day,5150,4750,4360,3960,Quiet approach to the ridge.,,,
58,Baiului,Cazacu - Baiu Mare loop,Azuga,Azuga,1.9,10,0,18,1150,TRAIL,NONE,JUN-OCT,4,M,6.3,9.28571428571429,6.58571428571429,14.4190476190476,29.5,7,0,7,3,1 long day,7610,7020,6440,5850,"Ridge out, valley back.",,,
59,Baiului,Valea Cazacia,Azuga,Azuga,1.9,10,0,9,450,FOREST,NONE,MAY-OCT,5,V,5.5,4.28571428571429,3.04285714285714,9.41904761904762,13.5,4,0,4,2,1 day,3060,2830,2590,2360,Short quiet valley. Verify the marking.,,,
60,Baiului,Varful Zamora from Azuga,Azuga,Busteni,1.9,10,0,13,700,FOREST,NONE,APR-NOV,5,M,5.5,6.33333333333333,4.4952380952381,11.4666666666667,20,5,0,5,2,1 day,4530,4180,3830,3480,Finish at Busteni station.,,,
61,Baiului,Clabucetul Plecare,Predeal,Predeal,2,10,0,6,350,TRAIL,NONE,ALL,2,H,6.3,3,2.12857142857143,8.33333333333333,9.5,3,0,3,1,1 day,2460,2270,2080,1890,Ridge reached about 20 min from the station.,,,
62,Baiului,Cioplea - Trei Brazi loop,Predeal,Predeal,2,10,0,9,400,FOREST,NONE,ALL,3,H,5.5,4.14285714285714,2.94285714285714,9.47619047619047,13,4,0,4,2,1 day,2960,2730,2510,2280,Good winter walk.,,,
63,Baiului,Trei Brazi - Paraul Rece,Predeal,Timisu de Sus,2.3,10,0,14,450,FOREST,NONE,ALL,4,M,5.5,5.95238095238095,4.23333333333333,11.8857142857143,18.5,5,0,5,2,1 day,4260,3930,3600,3270,Low forest crossing between two lines.,,,
64,Baiului,Clabucetul Taurului - Azuga,Predeal,Azuga,2,10,0,10,600,TRAIL,NONE,APR-NOV,3,H,6.3,5.04761904761905,3.58095238095238,10.3809523809524,16,5,0,5,2,1 day,4130,3820,3500,3180,About 3 to 3.5 h. Good progression step.,,,
65,Baiului,Predeal - Baiului ridge - Azuga,Predeal,Azuga,2,10,0,16,850,TRAIL,NONE,JUN-OCT,4,H,6.3,7.76190476190476,5.50952380952381,13.0952380952381,24.5,6,0,6,3,1 long day,6360,5870,5380,4890,The main ridge day. About 6 h.,,,
66,Baiului,Varful Fitifoi,Predeal,Predeal,2,10,0,11,600,TRAIL,NONE,MAY-OCT,5,M,6.3,5.38095238095238,3.81904761904762,10.7142857142857,17,5,0,5,2,1 day,4410,4070,3730,3390,Quiet summit above Predeal.,,,
67,Baiului,Cabana Susai from Predeal,Predeal,Azuga,2,10,0,12,650,TRAIL,NONE,APR-NOV,4,M,6.3,5.85714285714286,4.15714285714286,11.1904761904762,18.5,5,0,5,2,1 day,4800,4430,4060,3690,Descend to Azuga station.,,,
68,Persani,Trei Brazi - Cheile Rasnoavei,Predeal,Rasnov,3.1,10,0,14,400,FOREST,NONE,APR-NOV,4,M,5.5,5.80952380952381,4.13333333333333,13.3428571428571,18,5,0,5,2,1 long day,4150,3830,3510,3200,Documented approach to the gorge.,,,
69,Bucegi,Paraul Rece - Poiana Izvoarelor - Diham,Predeal,Busteni,2,10,0,18,800,TRAIL,NONE,JUN-OCT,4,V,6.3,8.28571428571429,5.88571428571429,13.6190476190476,26,6,0,6,3,1 long day,6790,6260,5740,5220,Long link route. Check the markings.,,,
70,Baiului,Clabucetul Baiului - Unghia Mare,Predeal,Predeal,2,10,0,18,1000,TRAIL,NONE,JUN-OCT,5,M,6.3,8.85714285714286,6.28571428571429,14.1904761904762,28,7,0,7,3,1 long day,7250,6700,6140,5580,Out and back on the empty ridge.,,,
71,Baiului,Poiana Secuilor - Cioplea quiet loop,Predeal,Predeal,2,10,0,8,350,FOREST,NONE,ALL,5,V,5.5,3.66666666666667,2.6047619047619,9,11.5,3,0,3,1,1 day,2620,2420,2220,2020,"Local paths, few walkers.",,,
72,Piatra Mare,Dambul Morii - Cascada Tamina,Timisu de Jos,Timisu de Jos,2.2,25,0,8,400,FOREST,NONE,MAY-OCT,3,H,5.5,3.80952380952381,2.70476190476191,10.0428571428571,12,4,0,4,2,1 day,2720,2510,2300,2100,Waterfall in the forest.,,,
73,Piatra Mare,Sapte Scari canyon,Timisu de Jos,Timisu de Jos,2.2,25,0,10,600,LADDERS,LADDERS,MAY-OCT,1,H,7,5.04761904761905,3.58095238095238,11.2809523809524,16,5,4,5,2,1 day,4590,4240,3890,3530,"Metal ladders, slippery when wet. Fee.",,,
74,Piatra Mare,Sapte Scari - Cabana Piatra Mare,Timisu de Jos,Timisu de Jos,2.2,25,0,12,800,LADDERS,LADDERS,MAY-OCT,2,H,7,6.28571428571429,4.45714285714286,12.5190476190476,20,5,4,5,2,1 day,5720,5280,4840,4400,3 h 20 to 3 h 50 by the usual estimate.,,,
75,Piatra Mare,Varful Piatra Mare (1843),Timisu de Jos,Timisu de Jos,2.2,25,0,15,1050,ROCKY,STEEP,JUN-OCT,3,H,7,8,5.67142857142857,14.2333333333333,25.5,6,3,6,3,1 long day,7280,6720,6160,5600,Rocky plateau at the top.,,,
76,Piatra Mare,Pestera de Gheata,Timisu de Jos,Timisu de Jos,2.2,25,0,14,950,ROCKY,STEEP,JUN-OCT,4,M,7,7.38095238095238,5.23333333333333,13.6142857142857,23.5,6,3,6,3,1 long day,6720,6200,5680,5170,Ice cave below the summit.,,,
77,Piatra Mare,Piatra Mare traverse to Darste,Timisu de Jos,Darste,2.4,25,0,18,1100,ROCKY,STEEP,JUN-OCT,4,M,7,9.14285714285714,6.48571428571429,15.7761904761905,29,7,3,7,3,2 days,8320,7680,7040,6400,"North descent, station to station.",,,
78,Piatra Mare,Valea Timisului forest loop,Timisu de Jos,Timisu de Jos,2.2,5,0,8,300,FOREST,NONE,ALL,5,M,5.5,3.52380952380952,2.5047619047619,9.09047619047619,11,3,0,3,1,1 day,2520,2330,2130,1940,Flat valley walk for a rest week.,,,
79,Persani,Cheile Rasnoavei from Timisu de Sus,Timisu de Sus,Timisu de Sus,2.3,10,0,11,350,TRAIL,NONE,APR-NOV,3,M,6.3,4.66666666666667,3.31904761904762,10.6,14.5,4,0,4,2,1 day,3820,3530,3230,2940,Marked route into the gorge.,,,
80,Postavaru,Cabana Postavarul from Timisu de Sus,Timisu de Sus,Timisu de Sus,2.3,10,0,12,900,TRAIL,NONE,JUN-OCT,4,V,6.3,6.57142857142857,4.65714285714286,12.5047619047619,21,6,0,6,3,1 day,5380,4970,4550,4140,Quiet south approach. Verify the marking.,,,
81,Postavaru,Cristianul Mare (1799) from Timisu de Sus,Timisu de Sus,Timisu de Sus,2.3,10,0,14,1000,ROCKY,STEEP,JUN-OCT,4,V,7,7.52380952380952,5.33333333333333,13.4571428571429,24,6,3,6,3,1 long day,6850,6320,5790,5270,Return by cable car to Poiana Brasov.,,,
82,Piatra Mare,Darste - Cabana Piatra Mare,Darste,Darste,2.4,10,0,12,950,TRAIL,NONE,JUN-OCT,4,V,6.3,6.71428571428571,4.75714285714286,12.847619047619,21.5,6,0,6,3,1 day,5500,5080,4650,4230,"North approach, little used.",,,
83,Piatra Mare,Sacele (Bunloc) - Varful Piatra Mare,Sacele,Sacele,3.1,20,0,14,1000,TRAIL,STEEP,JUN-OCT,4,M,6.3,7.52380952380952,5.33333333333333,15.3904761904762,24,6,3,6,3,2 days,6160,5690,5210,4740,East approach. Few trains to Sacele.,,,
84,Piatra Mare,Valea Garcinului forest walk,Sacele,Sacele,3.1,20,0,12,350,FOREST,NONE,ALL,5,V,5.5,5,3.55714285714286,12.8666666666667,15.5,4,0,4,2,1 day,3580,3300,3030,2750,"Long flat valley, almost empty.",,,
85,Postavaru,Tampa via the serpentines,Brasov,Brasov,2.6,20,0,5,400,TRAIL,NONE,ALL,1,H,6.3,2.80952380952381,1.99047619047619,9.67619047619048,9,3,0,3,1,1 day,2300,2120,1950,1770,Steep but short. Cable car down.,,,
86,Postavaru,Tampa - Dealul Melcilor loop,Brasov,Brasov,2.6,20,0,9,500,TRAIL,NONE,ALL,3,M,6.3,4.42857142857143,3.14285714285714,11.2952380952381,14,4,0,4,2,1 day,3630,3350,3070,2790,Quieter back side of Tampa.,,,
87,Postavaru,Pietrele lui Solomon - Faleza Junilor,Brasov,Brasov,2.6,30,0,6,250,ROCKY,BEGINNER_CLIMB,APR-NOV,2,H,7,2.71428571428571,1.92857142857143,9.91428571428572,8.5,2,6,6,3,1 day,2470,2280,2090,1900,"Beginner climbing crag, 15 min from the rocks.",,,
88,Postavaru,Drumul Rosu to Poiana Brasov,Brasov,Brasov,2.6,25,0,10,550,FOREST,NONE,ALL,2,H,5.5,4.90476190476191,3.48095238095238,11.9380952380952,15.5,4,0,4,2,1 day,3510,3240,2970,2700,"Wide forest road, bus back.",,,
89,Postavaru,Poiana Brasov - Cristianul Mare,Brasov,Brasov,2.6,25,0,17,950,TRAIL,NONE,JUN-OCT,2,H,6.3,8.38095238095238,5.94761904761905,15.4142857142857,26.5,6,0,6,3,2 days,6860,6340,5810,5280,The standard Postavaru day.,,,
90,Postavaru,Valea Racadau - Varful Postavaru,Brasov,Brasov,2.6,25,0,15,1000,TRAIL,STEEP,JUN-OCT,4,M,6.3,7.85714285714286,5.57142857142857,14.8904761904762,25,6,3,6,3,1 long day,6440,5940,5450,4950,Direct climb from the city edge.,,,
91,Postavaru,Stejeris - Warthe ridge,Brasov,Brasov,2.6,20,0,8,350,FOREST,NONE,ALL,5,M,5.5,3.66666666666667,2.6047619047619,10.5333333333333,11.5,3,0,3,1,1 day,2620,2420,2220,2020,"City forest, good in bad weather.",,,
92,Postavaru,Cetatuia - Dealul Melcilor easy loop,Brasov,Brasov,2.6,15,0,6,200,ROAD,NONE,ALL,3,M,4.5,2.57142857142857,1.82857142857143,9.27142857142857,8,2,0,2,1,1 day,1500,1390,1270,1160,Recovery-day walk.,,,
93,Postavaru,Schei - Solomon - Poiana Brasov,Brasov,Brasov,2.6,30,0,12,600,FOREST,NONE,ALL,3,M,5.5,5.71428571428571,4.05714285714286,12.9142857142857,18,5,0,5,2,1 day,4090,3770,3460,3140,Through the old quarter.,,,
94,Postavaru,Muchia Cheii - Postavaru old route,Brasov,Brasov,2.6,30,0,14,950,ROCKY,SCRAMBLE,JUN-OCT,5,V,7,7.38095238095238,5.23333333333333,14.5809523809524,23.5,6,6,6,3,1 long day,6720,6200,5680,5170,Rocky old line. Verify before you go.,,,
95,Persani,Cetatea Rasnov - Valea Cetatii cave,Rasnov,Rasnov,3.1,15,0,6,250,TRAIL,NONE,ALL,2,H,6.3,2.71428571428571,1.92857142857143,10.4142857142857,8.5,2,0,2,1,1 day,2220,2050,1880,1710,"Fortress, cave, short walk.",,,
96,Persani,Cheile Rasnoavei,Rasnov,Rasnov,3.1,20,0,9,300,TRAIL,NONE,APR-NOV,2,H,6.3,3.85714285714286,2.74285714285714,11.7238095238095,12,4,0,4,2,1 day,3160,2920,2670,2430,Gorge floor walk below the climbing sectors.,,,
97,Persani,Cheile Rasnoavei via ferrata,Rasnov,Rasnov,3.1,20,0,5,250,FERRATA,FERRATA_D,MAY-OCT,3,M,8,2.38095238095238,1.69047619047619,10.247619047619,7.5,2,8,8,4,1 day,2480,2290,2100,1900,Grade D. Cable is old and below the 10 mm standard.,,,
